GeneID,bsf,pcf
Tb927.8.6500,3.39,3.64
Tb927.5.4580,3.39,3.64
Tb05.5K5.220,3.39,3.64
Tb927.4.2330,3.37,3.66
Tb927.9.13110,3.37,3.66
Tb927.4.350,3.35,3.68
Tb927.6.2070,3.35,3.68
Tb927.1.2320,3.33,3.7
Tb927.11.220,3.33,3.7
Tb927.4.3820,3.31,3.72
Tb927.4.1640,3.29,3.74
Tb927.3.4480,3.29,3.74
Tb927.7.1350,3.22,3.81
Tb927.10.12690,3.5,3.54
Tb927.11.9770,3.49,3.55
Tb927.4.3170,3.48,3.56
Tb927.6.4270,3.44,3.6
Tb927.11.6450,3.41,3.63
Tb927.6.2960,3.4,3.64
Tb927.1.5120,3.36,3.68
Tb11.v5.0715,3.35,3.69
Tb927.11.14710,3.35,3.69
Tb927.8.7190,3.35,3.69
Tb11.02.5370,3.31,3.73
Tb11.02.5370b,3.31,3.73
Tb927.10.3300,3.31,3.73
Tb927.7.7090,3.3,3.74
Tb927.3.2860,3.27,3.77
Tb927.6.3970,3.54,3.51
Tb927.3.3260,3.51,3.54
Tb927.10.1850,3.38,3.67
Tb927.9.2030,3.36,3.69
Tb11.v5.1020,3.34,3.71
Tb927.2.3420,3.34,3.71
Tb927.11.400,3.32,3.73
Tb927.7.1210,3.28,3.77
Tb927.6.430,3.17,3.88
Tb927.3.4960,3.43,3.62
Tb927.6.4470,3.43,3.62
Tb927.7.5500,3.39,3.66
Tb927.11.340,3.35,3.7
Tb927.4.1370,3.3,3.76
Tb927.8.3600,3.3,3.76
Tb927.9.4810,3.28,3.78
Tb927.1.420,3.6,3.46
Tb927.11.5310,3.52,3.54
Tb927.7.340,3.48,3.58
Tb927.10.12350,3.45,3.61
Tb927.10.8250,3.42,3.64
Tb927.10.12800,3.41,3.65
Tb927.5.460,3.23,3.83
Tb927.6.2890,3.22,3.84
Tb927.9.9950,3.53,3.54
Tb927.3.3530,3.51,3.56
Tb927.10.11090,3.43,3.64
Tb927.11.4340,3.4,3.67
Tb927.11.13110,3.35,3.72
Tb927.11.2560,3.32,3.75
Tb927.4.950,3.32,3.75
Tb927.10.11630,3.26,3.81
Tb927.8.7770,3.22,3.85
Tb11.v5.0734,3.54,3.54
Tb927.4.2510,3.54,3.54
Tb927.11.12340,3.52,3.56
Tb927.4.710,3.52,3.56
Tb927.4.1490,3.48,3.6
Tb927.11.16430,3.45,3.63
Tb927.9.9430,3.35,3.73
Tb927.5.2560,3.34,3.74
Tb927.5.2550,3.33,3.75
Tb927.6.1450,3.32,3.76
Tb927.8.2180,3.32,3.76
Tb927.9.15810,3.3,3.78
Tb927.11.14240,3.29,3.79
Tb927.3.590,3.27,3.81
Tb927.10.12550,3.21,3.87
Tb927.3.3930,3.55,3.54
Tb11.v5.0190,3.5,3.59
